GCF_019048565.1; 4761971; 125205; .39152; Pseudomonadota 
GCF_019048585.1; 4565397; 118895; .38598; Pseudomonadota 
GCF_019048625.1; 4881504; 185280; .45146; Pseudomonadota 
GCF_019669345.1; 2883441; 78805; .66666; Bacillota 
GCF_019703105.1; 5560237; 158465; .42739; Pseudomonadota 
GCF_019458465.1; 4383400; 114640; .52373; Pseudomonadota 
GCF_019504365.1; 3110429; 77260; .45895; Actinomycetota 
GCF_019669385.1; 2846556; 78015; .66640; Bacillota 
GCF_019552205.1; 2514742; 68265; .64435; Bacteroidota 
GCF_019703125.1; 5571632; 158505; .42759; Pseudomonadota 
GCF_019670345.1; 5182402; 152510; .47846; Pseudomonadota 
GCF_019552325.1; 2531163; 68155; .64505; Bacteroidota 
GCF_019670645.1; 5044298; 124940; .46982; Pseudomonadota 
GCF_019670365.1; 5247293; 153270; .48078; Pseudomonadota 
GCF_019702945.1; 2850605; 74420; .68691; Bacteroidota 
GCF_019669905.1; 5229962; 130445; .44010; Pseudomonadota 
GCF_019504385.1; 4403785; 118960; .36889; Pseudomonadota 
GCF_019458525.1; 5310018; 152230; .45637; Pseudomonadota 
GCF_019458485.1; 4155012; 107820; .60564; Pseudomonadota 
GCF_019668525.1; 929036; 24905; .70611; Spirochaetota 
GCF_019669985.1; 4119296; 104190; .37076; Pseudomonadota 
GCF_019670665.1; 4993417; 124775; .46996; Pseudomonadota 
GCF_019550795.1; 6253414; 157625; .49885; Bacillota 
GCF_019670685.1; 5034231; 125670; .47001; Pseudomonadota 
GCF_019703185.1; 5785454; 164210; .43201; Pseudomonadota 
GCF_019552405.1; 862711; 22970; .69730; Mycoplasmatota 
GCF_019464375.1; 4186022; 120125; .31939; Actinomycetota 
GCF_019552345.1; 2092532; 57705; .64198; Bacillota 
GCF_019670005.1; 5329496; 136250; .36883; Pseudomonadota 
GCF_019670405.1; 5133302; 150860; .47876; Pseudomonadota 
GCF_019550875.1; 2866889; 79085; .66727; Bacillota 
GCF_019670025.1; 5363076; 137505; .55953; Pseudomonadota 
GCF_019670385.1; 5274318; 154490; .48076; Pseudomonadota 
GCF_019670105.1; 4912063; 125560; .55616; Pseudomonadota 
GCF_019670705.1; 4565920; 115350; .47414; Pseudomonadota 
GCF_019614655.1; 6881370; 164840; .41129; Pseudomonadota 
GCF_019575955.1; 2766941; 118155; .34319; Actinomycetota 
GCF_019703005.1; 5634608; 160565; .42820; Pseudomonadota 
GCF_019614825.1; 5068055; 160460; .49403; Pseudomonadota 
GCF_019614475.1; 1850020; 51995; .62511; Bacillota 
GCF_019670125.1; 4804640; 125390; .55441; Pseudomonadota 
GCF_019668605.1; 929103; 24980; .70611; Spirochaetota 
GCF_019670445.1; 5259852; 153755; .48132; Pseudomonadota 
GCF_019464415.1; 6321739; 156285; .39734; Pseudomonadota 
GCF_019668585.1; 927826; 24845; .70609; Spirochaetota 
GCF_019576055.1; 1637290; 43200; .62698; Bacillota 
GCF_019670465.1; 5081230; 149165; .47862; Pseudomonadota 
GCF_019670145.1; 5119901; 150560; .47905; Pseudomonadota 
GCF_019668625.1; 928632; 24830; .70609; Spirochaetota 
GCF_019623905.1; 4502271; 118175; .33819; Pseudomonadota 
GCF_019551035.1; 2976620; 82575; .66663; Bacillota 
GCF_019550945.1; 3030186; 84145; .66642; Bacillota 
GCF_019703025.1; 5629919; 160800; .42832; Pseudomonadota 
GCF_019693255.1; 6918516; 231335; .40930; Pseudomonadota 
GCF_019670485.1; 5394600; 137980; .55838; Pseudomonadota 
GCF_019693235.1; 5640774; 159880; .64397; Bacillota 
GCF_019670745.1; 4492792; 120125; .34759; Actinomycetota 
GCF_019551235.1; 3020857; 84420; .66803; Bacillota 
GCF_019702485.1; 6658605; 173550; .40585; Pseudomonadota 
GCF_019670505.1; 1631651; 44895; .60939; Campylobacterota 
GCF_019668645.1; 928520; 24805; .70606; Spirochaetota 
GCF_019703265.1; 4211254; 116310; .60932; Pseudomonadota 
GCF_019551315.1; 2976529; 82660; .66664; Bacillota 
GCF_019670165.1; 5123754; 150390; .47877; Pseudomonadota 
GCF_019576095.1; 1992128; 44475; .39767; Actinomycetota 
GCF_019551095.1; 3047059; 84780; .66688; Bacillota 
GCF_019703245.1; 5638256; 160630; .42824; Pseudomonadota 
GCF_019703305.1; 1651102; 48660; .52032; Campylobacterota 
GCF_019703285.1; 4173793; 110165; .60522; Pseudomonadota 
GCF_019551175.1; 3062865; 85670; .66856; Bacillota 
GCF_019703325.1; 1652991; 50065; .53319; Campylobacterota 
GCF_019576155.1; 2592671; 70090; .55448; Bacillota 
GCF_019645795.1; 4783380; 159505; .49307; Pseudomonadota 
GCF_019464535.1; 4428204; 97580; .36044; Verrucomicrobiota 
GCF_019464575.1; 1465056; 40810; .71254; Spirochaetota 
GCF_019670585.1; 4994559; 124545; .47093; Pseudomonadota 
GCF_019670205.1; 5092807; 149395; .47909; Pseudomonadota 
GCF_019670545.1; 4918737; 122545; .46937; Pseudomonadota 
GCF_019670185.1; 5081237; 148940; .47874; Pseudomonadota 
GCF_019575995.1; 1580772; 56145; .63114; Bacillota 
GCF_019670525.1; 4970934; 126515; .47099; Pseudomonadota 
GCF_019597925.1; 4040381; 104130; .52327; Bacillota 
GCF_019668825.1; 928765; 24945; .70610; Spirochaetota 
GCF_019670225.1; 5049625; 147905; .47838; Pseudomonadota 
GCF_019670245.1; 5116118; 150155; .47888; Pseudomonadota 
